Institution,Institution URI
City University Of New York Hunter College,http://history.archives.mbl.edu/concepts/institution/d07dcaa9-cae8-4916-ad0b-9990067af29e
Chicago University,http://history.archives.mbl.edu/concepts/institution/8707c8c3-eff5-4a93-9aa9-ac4534d94d1f
Independent Consultant,http://history.archives.mbl.edu/concepts/institution/7f423076-f8f0-49d8-84dc-f247b716aafc
University Of Osnabruck,http://history.archives.mbl.edu/concepts/institution/b46975b4-da19-4585-a7c2-a273f69ce4ff
National Institute Of Nutrition,http://history.archives.mbl.edu/concepts/institution/4a9211f1-1985-492c-a7b2-a23eedc61486
Akron Childrenas Hospital,http://history.archives.mbl.edu/concepts/institution/d040d3e7-bbab-4a71-8400-af145c46da91
Osaka University Medical School,http://history.archives.mbl.edu/concepts/institution/00664e70-aedd-4e64-82b3-5b1b25ca023f
Max Planck Institute For Developmental Biology,http://history.archives.mbl.edu/concepts/institution/baa238ae-d35a-42e8-91cd-dce1c696a105
Plant Breeding Laboratory Department Of Agriculture,http://history.archives.mbl.edu/concepts/institution/25a7362e-e0b3-414c-af77-327ce7e7b72c
University Of Tuscia,http://history.archives.mbl.edu/concepts/institution/2bc31306-abc0-4b4d-8760-3083fa3aab2f
Rush College Of Nursing And Graduate College,http://history.archives.mbl.edu/concepts/institution/5f6e59bd-ac26-4463-abd7-4a9ce5b54e30
Maniilaq Health Center,http://history.archives.mbl.edu/concepts/institution/f9d175d7-c816-499a-bd97-7c522d080527
Dept Of Zoology Depauw University,http://history.archives.mbl.edu/concepts/institution/6d924d9b-a450-4cfa-971f-22af4a20359e
Upstate Medical University,http://history.archives.mbl.edu/concepts/institution/1d3d05fe-47d9-47be-8be2-0be3da8b065d
Philipps University Marburg,http://history.archives.mbl.edu/concepts/institution/2f6981b6-af31-4f5e-bb89-ba3eddbbfb2a
Oshkosh Normal School,http://history.archives.mbl.edu/concepts/institution/7f7c42cd-f90a-4e3f-bd44-94aadf9af413
Stazione Zoologica A Dohrm,http://history.archives.mbl.edu/concepts/institution/45a4097a-5c40-4d9a-9a50-0ef8c50c52c1
Stazione Zoologica A Dohrn,http://history.archives.mbl.edu/concepts/institution/0ed62894-496e-45f3-824a-38b878ba9b8a
Seattle Biomedical Research Center,http://history.archives.mbl.edu/concepts/institution/74b21eed-12cf-41fe-ae59-0ba1e3e8bc2e
Institute For Drug Research,http://history.archives.mbl.edu/concepts/institution/6b7bb460-eb0c-4ae6-8533-d678edf916f8
La Biomed,http://history.archives.mbl.edu/concepts/institution/32450aee-a502-46c8-8de2-94cbe22a7ce9
Columbia University Institute Of Cancer,http://history.archives.mbl.edu/concepts/institution/ba1a9de6-9977-4af4-997f-3d0e1cb16ab5
Polytechnic Institute,http://history.archives.mbl.edu/concepts/institution/ad0c03df-44c6-4ac2-8a53-dbb4c7ff7839
University Of Connecticut School Of Medicine,http://history.archives.mbl.edu/concepts/institution/a2d65500-46f1-4f3b-9e4f-cd00f8e5e514
Public Health Research Institute Of City Of New York,http://history.archives.mbl.edu/concepts/institution/384f005b-68ec-4f28-a23c-1d2a993fb91a
Emory Univeristy,http://history.archives.mbl.edu/concepts/institution/097d802f-06ba-4c06-8d6b-3d4cf02c8809
Framingham Normal School,http://history.archives.mbl.edu/concepts/institution/ccdcf2e7-9417-416b-b1f4-75616f81507e
University Of Texas Southwestern Med,http://history.archives.mbl.edu/concepts/institution/0a094100-bb56-4eb2-b95f-3a588bfbb57a
Guilford College,http://history.archives.mbl.edu/concepts/institution/6c56e4a4-69f2-4e53-940c-1ff42838af39
Grossmont Healthcare District,http://history.archives.mbl.edu/concepts/institution/6515af2c-80e5-44ea-bd5c-fafbb81f4eac
University Of Pittsburgh Western Psychiatric Institute And Clinic,http://history.archives.mbl.edu/concepts/institution/078ddf64-20a4-4675-9865-550e7424f9fe
Pharmaceutical And Biochemical Research Hoffman La Roche,http://history.archives.mbl.edu/concepts/institution/c8246fce-57ba-4b9f-9708-5772d271c488
Agnes Barr Chase Foundation Temple University,http://history.archives.mbl.edu/concepts/institution/3cff8f71-0ca3-4dab-a5f2-a3b822e6d38d
Broad Institute Of Harvard And Mit,http://history.archives.mbl.edu/concepts/institution/9fff83f7-6860-437c-ba4f-f6701083ae23
La Sapienza University Of Rome,http://history.archives.mbl.edu/concepts/institution/a9559eab-b24d-45eb-9ac1-f1dae2a4458b
National Institute Of Mental Health,http://history.archives.mbl.edu/concepts/institution/18b635c4-9937-496f-9c90-592f54814be8
Woods Hole Educational Associates,http://history.archives.mbl.edu/concepts/institution/3bef08c3-7f79-4cfa-bd7e-ae4878166a7f
Creighton University College For Medicine,http://history.archives.mbl.edu/concepts/institution/5c37851f-1e0e-4f0e-9470-fb51fa8b602b
American Geographical Society Of New York,http://history.archives.mbl.edu/concepts/institution/bc736a1f-2af7-4520-b40b-6ab738aa06c7
University Of Bremen,http://history.archives.mbl.edu/concepts/institution/5a2df317-a6ff-40be-8de2-51d31fcbb60b
Family Health Council,http://history.archives.mbl.edu/concepts/institution/5c20829c-6429-43f8-a985-6a919968c886
Hunter College,http://history.archives.mbl.edu/concepts/institution/910e9a89-029e-4424-97a9-b31d20f6eb62
Wallenberg Lab For Cardiovascular Research,http://history.archives.mbl.edu/concepts/institution/4561ea7d-2203-4b09-af48-d85de5b801a1
Division Of Neurobiology Johns Hopkins University School Of Medicine,http://history.archives.mbl.edu/concepts/institution/b0850a7d-39d0-4409-a9bd-cd6a5c47b5fc
Univ Of Massachusetts Amherst,http://history.archives.mbl.edu/concepts/institution/0ec674ea-cb2d-4ee4-8390-29d39e98d8cd
Sofia Instituto Gulbenkian De Ciencia,http://history.archives.mbl.edu/concepts/institution/4b95f0c3-3e40-4c3a-b85e-84ffaa569bf4
Christ Hospital,http://history.archives.mbl.edu/concepts/institution/debf1fd7-1b4a-4cc7-b66a-9fc2cd42a44f
Swedish Hospital Medical Center,http://history.archives.mbl.edu/concepts/institution/a0478f04-40ec-4c45-88ee-bfab371871b3
Department Of Biochemistry Rutgers College Rutgers State University Of New Jersey,http://history.archives.mbl.edu/concepts/institution/d2aceb39-eb07-4393-8138-40775a4164c6
Marthas Vineyard Hospital,http://history.archives.mbl.edu/concepts/institution/18f5b598-1b0b-40d6-9a71-2a3f48d5f998
Department Of Botany Cornell University,http://history.archives.mbl.edu/concepts/institution/a787daf6-d895-42b5-8e9f-065ad18837d6
Rosetta Inpharmatics,http://history.archives.mbl.edu/concepts/institution/f355f2b2-572d-4261-b6ba-cea0369a2c35
Mdb,http://history.archives.mbl.edu/concepts/institution/ba3028af-ad36-451c-90f6-a478be617f89
Theodore Roosevelt High School,http://history.archives.mbl.edu/concepts/institution/c722b359-e516-4f7c-9ab0-6798d7b371e1
Princess Margaret Hospital,http://history.archives.mbl.edu/concepts/institution/23e09af8-747d-4135-955a-ecaeee37d018
Tokyo Kyoiku University,http://history.archives.mbl.edu/concepts/institution/4369fc78-72a6-4345-b978-4e0189c3fbd3
Hampden Sydney College,http://history.archives.mbl.edu/concepts/institution/df45f3c1-0c0e-48a6-a956-4e8e4a0d2686
Physiological Laboratory Cambridge,http://history.archives.mbl.edu/concepts/institution/3ca8b3a7-bf8d-4202-9a2a-f98154f0478c
Harvard University School Of Public Health,http://history.archives.mbl.edu/concepts/institution/18128738-a14f-4038-b81c-629393ea8935
Unisense Fertilitech,http://history.archives.mbl.edu/concepts/institution/7779412b-e79a-45c4-872e-e7bf77d0ced6
New York University Dental School,http://history.archives.mbl.edu/concepts/institution/ab6acfa7-c51f-4e4f-9255-8214327007f9
Eastern Kentucky University,http://history.archives.mbl.edu/concepts/institution/44763ff1-9de9-4caa-9dfd-594cc81f315c
Los Alamos National Laboratory,http://history.archives.mbl.edu/concepts/institution/d5095eac-76c9-4f72-8f7c-50714ebd6142
Universita De Ecologia Y Evolucion,http://history.archives.mbl.edu/concepts/institution/e5bd9d20-d595-4ff3-9368-b290248f3b55
Chinese University Of Hong Kong,http://history.archives.mbl.edu/concepts/institution/82e54a69-e182-42da-a05f-6fdfe8b0197e
Bellevue And Metropolitan Hospitals,http://history.archives.mbl.edu/concepts/institution/f949b7b7-bcc4-4996-98de-1da47f322a57
Goddard College,http://history.archives.mbl.edu/concepts/institution/8bec2afe-3d14-4db4-aeba-58c4183770bb
Mpi Fur Medical Research,http://history.archives.mbl.edu/concepts/institution/8bd57bdd-46cc-44f4-a61c-224cee830062
Charles R Drew University Library,http://history.archives.mbl.edu/concepts/institution/df67d15a-8d6a-4cfc-bd9b-6a165ba5a6ce
Cancer Research,http://history.archives.mbl.edu/concepts/institution/3cd9ea18-5c4e-4651-8253-5e411746c0f0
Burroughs Wellcome,http://history.archives.mbl.edu/concepts/institution/264cacc5-717e-4043-a3b8-f95edac9a399
Commissioned Corps Of U S Public Health Service,http://history.archives.mbl.edu/concepts/institution/465da7e6-d45b-4074-8b90-5cfd7534cd85
Mills College,http://history.archives.mbl.edu/concepts/institution/0d4adcd1-13ad-43b7-a16a-bc0870204ace
Williamstown High School,http://history.archives.mbl.edu/concepts/institution/c6b64116-578e-4238-82f2-8090afce9629
Westbrook Junior College,http://history.archives.mbl.edu/concepts/institution/01592f42-1304-4b5a-af58-c91a564bbd30
Zeneca Pharmaceuticals,http://history.archives.mbl.edu/concepts/institution/06e788b3-e4d2-4bef-8514-d35bc36ba7eb
Zymogenetics,http://history.archives.mbl.edu/concepts/institution/e13a4b1f-9505-4e2e-887d-a09fcd7537ac
Foundation For Microbiology,http://history.archives.mbl.edu/concepts/institution/d7acd35d-411a-4097-8ea8-df0a332e43a7
National Multiple Sclerosis Society,http://history.archives.mbl.edu/concepts/institution/968aad4e-0817-462b-8ea1-6d12df2eab15
University Of Sherbrooke,http://history.archives.mbl.edu/concepts/institution/f975a133-8c75-40cb-bead-9082f2549cce
Catawba Valley Medical Center,http://history.archives.mbl.edu/concepts/institution/d94b98fd-2536-4533-99f5-849db5faaf94
University Medical College,http://history.archives.mbl.edu/concepts/institution/1340852d-1483-457c-bfd9-b7e63958be0d
Suny College At Brockport,http://history.archives.mbl.edu/concepts/institution/b2662759-4383-4c6f-a1e0-9d23736f874f
Memorial Hospital,http://history.archives.mbl.edu/concepts/institution/d822e300-37e6-435b-9e13-ed38903e388a
University Of Wollongong,http://history.archives.mbl.edu/concepts/institution/0e705f00-2b01-41c5-b8df-054b8e1f9668
University Of Iowa Hospitals And Clinics,http://history.archives.mbl.edu/concepts/institution/73757bd4-d9fa-4162-9fae-54a3b6da5b23
Aaron Diamond Aids Research Center,http://history.archives.mbl.edu/concepts/institution/6ab897d3-ce77-49d8-8cc4-062edf115e9f
Cellular And Comparative Physiology Section,http://history.archives.mbl.edu/concepts/institution/af3c0d8c-2d8a-4e7b-b729-745b8410035a
University Of New Mexico School Of Medicine Cancer Center,http://history.archives.mbl.edu/concepts/institution/e6c1dcad-1da0-4090-be05-2495f337bd85
Cnrs Umr 7000,http://history.archives.mbl.edu/concepts/institution/2dfa9f0d-6129-4890-a327-5696955466f6
West Baden College,http://history.archives.mbl.edu/concepts/institution/1117ccdd-456d-49f7-9287-deef35bc8837
University Of Jerusalem,http://history.archives.mbl.edu/concepts/institution/6a5c8fac-9962-4fa0-ae72-9c4224bd0ed1
Systematics Ecology Program Marine Biology Laboratory,http://history.archives.mbl.edu/concepts/institution/88c3effa-be0c-47ad-aba1-2fd0275ab6b2
Binghamton College,http://history.archives.mbl.edu/concepts/institution/ffa24e65-7d65-4621-a1fe-e612bceeb809
Department Of Zoology Columbia University,http://history.archives.mbl.edu/concepts/institution/789548e0-a32f-48d8-b066-c28a832d9661
University Of Heidelberg Columbia University,http://history.archives.mbl.edu/concepts/institution/b2786514-1a5b-4319-a0ef-63ec733fe285
Carroll College,http://history.archives.mbl.edu/concepts/institution/8f06aec5-c57e-4d11-a5df-a1078d7a447f
Uniformed Services University Of Health Sciences,http://history.archives.mbl.edu/concepts/institution/4ac8fadc-5772-4c59-8cdd-cf6d4824262f
Mather College,http://history.archives.mbl.edu/concepts/institution/289de73a-9338-47d6-9a7d-d83cc5f76012
Normandale Community College,http://history.archives.mbl.edu/concepts/institution/a17ee794-eec2-444b-a39b-9cec4d90c412
University Of Turku,http://history.archives.mbl.edu/concepts/institution/b374c0cc-e8b2-4b7a-89bc-06ef6e87fc72
Nincds Nih,http://history.archives.mbl.edu/concepts/institution/dfbf23de-3ed6-47ff-a183-26456b05fe70
Wisconsin University,http://history.archives.mbl.edu/concepts/institution/95016420-3d18-4d90-aa62-a31a7e9ad096
Resource Foundation,http://history.archives.mbl.edu/concepts/institution/28e31e3c-1c34-461c-96ea-8bc0004fca93
Department Of Physiology University Of Virginia School Of Medicine,http://history.archives.mbl.edu/concepts/institution/93983308-7619-4c8e-bd48-cc44e2d097bc
Instituto De Investigaciones En Ingenieria Genetics Y Biologia Molecular,http://history.archives.mbl.edu/concepts/institution/cb92550f-d1ba-4ef7-a642-eac9b8263f83
Peabody Museum,http://history.archives.mbl.edu/concepts/institution/4036e870-f89d-4cc1-add1-04e1d320c094
City University Of New York And Millersville State College,http://history.archives.mbl.edu/concepts/institution/03e7f9a7-5b94-493b-b348-cdc62d3a1e01
San Juan Bautista School Of Medicine,http://history.archives.mbl.edu/concepts/institution/92d0e560-a5c0-4a64-a5a4-17daf0034969
U S Navy Through Columbia University,http://history.archives.mbl.edu/concepts/institution/a4d782ed-331b-4bd3-af7a-54256991188b
Soldan High School,http://history.archives.mbl.edu/concepts/institution/1029d890-f60d-4e62-aef4-47f2f286036b
Neuropathology Harvard Medical School And Childrens Medical Center,http://history.archives.mbl.edu/concepts/institution/a6e8403a-5f23-454d-84b0-02a1eb9ed286
Albert Einstein Medical School,http://history.archives.mbl.edu/concepts/institution/bdec1d96-b5b5-4527-8f4a-d6bccc6e693f
Department Of Botany University Of Bristol,http://history.archives.mbl.edu/concepts/institution/7301a2a8-1ed7-4770-af8c-e13c2531b33f
Department Of Biology State University Of New York,http://history.archives.mbl.edu/concepts/institution/f05d026f-461f-415f-a64c-3003730b068c
University Of Pennsylvania Hospital,http://history.archives.mbl.edu/concepts/institution/2e7234ef-c133-40d7-a5d6-5557c55fb9bd
Milton S Hershey Medical Center,http://history.archives.mbl.edu/concepts/institution/de0cc2af-9039-4b7c-aa4b-db9508b11a49
Saint Vincents Hospital,http://history.archives.mbl.edu/concepts/institution/a1136750-41bb-4d30-ac4b-bbd2026f71fb
U S Department Of Agriculture,http://history.archives.mbl.edu/concepts/institution/f782656d-8e89-4778-918f-adc8ace54d51
Catholic University Of Chile,http://history.archives.mbl.edu/concepts/institution/c4940637-c17a-445f-9296-5dbcab1684d7
School Of Medicine State University Of New York,http://history.archives.mbl.edu/concepts/institution/75b07d69-0dda-44f5-96a1-a7cee43e568f
College Of Agriculture Wes Virginia University,http://history.archives.mbl.edu/concepts/institution/7c9ff3ae-a910-4fc9-a191-085e128f8f87
Cedars Sinai Medical Center,http://history.archives.mbl.edu/concepts/institution/10455862-0d3e-454c-b753-7b412730bd66
National Research Council,http://history.archives.mbl.edu/concepts/institution/a4862e6a-cade-4e5a-b363-4bad26606930
Wyss Institute At Harvard University,http://history.archives.mbl.edu/concepts/institution/eb0f982f-4a83-4c5b-8ef4-acc7933c3de3
Rhone Poulene Rorer,http://history.archives.mbl.edu/concepts/institution/0f0bf2fd-89ee-4e19-82e4-58f464c94393
