Year,Course URI,Course Group URI,Course Group,Course Name
1974,http://history.archives.mbl.edu/concepts/course/9b5d814d-2948-4fb3-8843-d211d12580c4,http://history.archives.mbl.edu/concepts/coursegroup/43b01f0d-da29-410a-b029-e8972015bed9,Research Program In History Of Biology,Research Program In History Of Biology 1974
1975,http://history.archives.mbl.edu/concepts/course/c90f52da-3660-47c4-b4fe-8e807f4eadb5,http://history.archives.mbl.edu/concepts/coursegroup/d31993ac-e828-472b-9763-337e16372bec,Ecology,Ecology 1975
1975,http://history.archives.mbl.edu/concepts/course/adcf6de3-ce49-4816-8872-f69085b38990,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1975
1975,http://history.archives.mbl.edu/concepts/course/9916b5a6-47e5-42c3-9378-90b41f921a31,http://history.archives.mbl.edu/concepts/coursegroup/0846bbf3-c8c9-4f95-8c42-7a4c90f19c55,Experimental Invertebrate Zoology,Experimental Invertebrate Zoology 1975
1975,http://history.archives.mbl.edu/concepts/course/eaa86458-3ed5-4d47-8b5c-6cc64955d388,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb,Experimental Marine Botany,Experimental Marine Botany 1975
1975,http://history.archives.mbl.edu/concepts/course/f3631344-f752-4542-b8b2-bdd8c774ba97,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875,Neurobiology,Neurobiology 1975
1975,http://history.archives.mbl.edu/concepts/course/8ccf30cf-3632-456e-ba25-63b5998a0979,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1975
1975,http://history.archives.mbl.edu/concepts/course/3e91530f-1414-4880-982e-fad7450438e8,http://history.archives.mbl.edu/concepts/coursegroup/59ce91f9-e021-481d-a195-b14146518cc5,Developmental Biology,Developmental Biology 1975
1975,http://history.archives.mbl.edu/concepts/course/cbefdce0-ee13-4e43-b025-4ce2f8779688,http://history.archives.mbl.edu/concepts/coursegroup/db004e6b-fe69-48a5-9ccf-0c6ca2e3166d,Bump Neurobiology,Bump Neurobiology 1975
1975,http://history.archives.mbl.edu/concepts/course/bf61a090-2216-4335-b58a-154e8c813845,http://history.archives.mbl.edu/concepts/coursegroup/2bf3174a-84ff-404f-a0a7-00a95dbf057c,Biosphere,Biosphere 1975
1975,http://history.archives.mbl.edu/concepts/course/cac8361f-751d-465d-a93e-0d7313be6b20,http://history.archives.mbl.edu/concepts/coursegroup/89242b8a-ec6a-4f36-b98e-731654efc04c,Behavior,Behavior 1975
1975,http://history.archives.mbl.edu/concepts/course/1a302284-b645-4563-aeec-5472272ec669,http://history.archives.mbl.edu/concepts/coursegroup/6ed75d79-df3a-4439-bd64-5e3783e78afd,Research Program In Experimental Marine Biology,Research Program In Experimental Marine Biology 1975
1975,http://history.archives.mbl.edu/concepts/course/58c4eb3f-7330-4d74-9b12-3545f45e0f0e,http://history.archives.mbl.edu/concepts/coursegroup/2fa000d6-044b-4289-826c-fc5c6e0bd310,Training Program In Microbial Ecology,Training Program In Microbial Ecology 1975
1975,http://history.archives.mbl.edu/concepts/course/82d8f2ec-d08c-4a0c-8ff9-b0df0c341aa0,http://history.archives.mbl.edu/concepts/coursegroup/9eb1e664-021e-4e62-91de-8f6425a12cdb,Research Program In Reproductive Biology,Research Program In Reproductive Biology 1975
1976,http://history.archives.mbl.edu/concepts/course/7db8f134-2c11-48a2-9025-c26696527e65,http://history.archives.mbl.edu/concepts/coursegroup/d31993ac-e828-472b-9763-337e16372bec,Ecology,Ecology 1976
1976,http://history.archives.mbl.edu/concepts/course/c1b6b69b-f7aa-4edc-af09-0dfdc9396183,http://history.archives.mbl.edu/concepts/coursegroup/fe479b9e-dcc1-4d89-8dc5-1291e5aa839d,Embryology,Embryology 1976
1976,http://history.archives.mbl.edu/concepts/course/442147a1-4d84-49c6-b00c-9b51682a47c7,http://history.archives.mbl.edu/concepts/coursegroup/0846bbf3-c8c9-4f95-8c42-7a4c90f19c55,Experimental Invertebrate Zoology,Experimental Invertebrate Zoology 1976
1976,http://history.archives.mbl.edu/concepts/course/00c57d0a-9a4a-485a-bb67-06eac9db5947,http://history.archives.mbl.edu/concepts/coursegroup/47798ea7-dff4-4921-b4cf-d54d53b5dacb,Experimental Marine Botany,Experimental Marine Botany 1976
1976,http://history.archives.mbl.edu/concepts/course/2d943e4c-1740-46e8-b572-1030f43b8d29,http://history.archives.mbl.edu/concepts/coursegroup/f6e857d4-cc35-4735-a0bd-c66d8a7a3875,Neurobiology,Neurobiology 1976
1976,http://history.archives.mbl.edu/concepts/course/b0e8464d-60b8-404c-a744-09201709e3d2,http://history.archives.mbl.edu/concepts/coursegroup/dd094cd0-8d6a-4b17-b491-1fbade57f3dc,Physiology,Physiology 1976
1976,http://history.archives.mbl.edu/concepts/course/26f70a29-4173-4730-b8f7-b6aaca41b020,http://history.archives.mbl.edu/concepts/coursegroup/89242b8a-ec6a-4f36-b98e-731654efc04c,Behavior,Behavior 1976
